hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,permit_recommended_res,permit_recommended_nr,permit_recommended_total,conservation_table_row_count
DS1003,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,5141,1,0,1,,,,1
DS1004,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,193,1,0,1,,,,1
DS1006,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,100,1,0,1,,,,1
DS1007,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,195,1,0,1,,,,1
DS6601,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,98,10,3,13,10,3,13,0
DS6602,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Kaiparowits, Escalante",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,,99,7,1,8,,,,0
DS6605,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,305,1,0,1,,,,1
DS6609,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Rafael, North",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,194,8,0,8,8,0,8,0
EA1007,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1010,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,38,18,2,20,,,,0
EA1011,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,39,9,1,10,,,,0
EA1021,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,616,207,23,230,,,,0
EA1033,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,611,112,13,125,,,,0
EA1035,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,104,112,13,125,,,,0
EA1040,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Monroe, Koosharem Valley",Elk,Antlerless,Any Legal Weapon,General Season,,723,7,1,8,,,,0
EA1053,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1054,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,132,45,5,50,,,,0
EA1063,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,609,67,8,75,,,,0
EA1069,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,634,31,4,35,,,,0
EA1074,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Pine Valley,Elk,Antlerless,Any Legal Weapon,General Season,,636,4,1,5,,,,0
EA1107,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1116,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Zion,Elk,Antlerless,Any Legal Weapon,General Season,,635,18,2,20,,,,0
EA1126,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Cotton Thomas CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,,640,5,,5,,,,0
EA1129,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,568,425,0,425,,,,0
EA1134,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,522,60,0,60,,,,0
EA1139,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,577,10,0,10,,,,0
EA1149,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,551,15,0,15,,,,0
EA1176,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Weber Florence Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,,524,65,,65,,,,0
EA1180,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,Conservation,684,,,8,,,,1
EA1193,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,38,18,2,20,,,,0
EA1208,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,616,247,28,275,,,,0
EA1220,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Manti (Expo),Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,5112,,,3,,,,1
EA1221,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Fishlake/Thousand Lake (Expo),Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,5145,,,1,,,,1
EA1222,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,685,27,3,30,,,,0
EA1223,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,685,27,3,30,,,,0
EA1251,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,893,13,2,15,,,,0
EA1252,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,,893,4,1,5,,,,0
EA1258,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal (Expo),Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,5113,,,1,,,,0
EA1266,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,18,18,2,20,,,,0
EA1267,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Cache,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,29,81,9,90,,,,0
EA1269,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Ogden (excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,924,180,20,200,,,,0
EA1270,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,Conservation,175,,,4,,,,1
EA1271,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,Conservation,51,,,4,,,,1
EA1284,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,Antlerless,634,31,4,35,,,,0
EA1285,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,634,31,4,35,,,,0
EA1288,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1289,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1290,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1291,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1292,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1293,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1294,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1295,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1296,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1297,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1298,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1299,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1300,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA1301,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
EA2000,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Antlerless Elk Control,Elk,Antlerless,Any Legal Weapon,Antlerless Elk Control,Antlerless,5116,,,,,,,0
EA2033,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Kamas,Elk,Antlerless,Archery,General Season,Antlerless,611,225,25,250,,,,0
EA2036,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,86,54,6,60,,,,0
EA2041,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,Conservation,29,,,6,,,,1
EA2045,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,Conservation,5118,,,10,,,,1
EB1000,CORE_REVIEW,SPORTSMAN_CONSERVATION_OVERLAP_REVIEW,Code is current sportsman in review set and also appears in conservation table; keep families separate.,yes,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,Statewide Permit,5119,,,15,,,,1
EB1001,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,General Bull,5120,,,10,,,,0
EB1002,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,General Bull,5121,,,6,,,,0
EB1003,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,Spike Only,5122,,,16,,,,0
EB1004,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,Spike Only,5123,,,6,,,,0
EB1005,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,General Bull,5124,,,16,,,,0
EB1009,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,Spike Only,5126,,,,,,,0
EB1010,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,General Bull,5127,,,17,,,,0
EB1011,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,General Bull,5128,,,,,,,0
EB3000,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Elk,Bull,Archery,Limited Entry,Mature Bull,685,22,3,25,22,3,25,0
EB3003,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Cache, Meadowville",Elk,Bull,Archery,Limited Entry,Mature Bull,33,9,1,10,9,1,10,0
EB3005,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Cache, South",Elk,Bull,Archery,Limited Entry,Mature Bull,41,10,1,11,10,1,11,0
EB3006,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti,Elk,Bull,Archery,Limited Entry,Mature Bull,51,148,17,165,148,17,165,0
EB3008,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Fillmore, Pahvant",Elk,Bull,Archery,Limited Entry,Mature Bull,88,19,2,21,19,2,21,0
EB3009,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Elk,Bull,Archery,Limited Entry,Mature Bull,617,36,4,40,36,4,40,0
EB3011,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Elk,Bull,Archery,Limited Entry,Mature Bull,630,19,2,21,19,2,21,0
EB3015,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Elk,Bull,Archery,Limited Entry,Mature Bull,634,17,2,19,17,2,19,0
EB3018,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake/Thousand Lakes,Elk,Bull,Archery,Limited Entry,Mature Bull,175,84,9,93,84,9,93,0
EB3019,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry,Mature Bull,183,29,3,32,29,3,32,0
EB3020,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Diamond Mtn,Elk,Bull,Archery,Limited Entry,Mature Bull,206,25,3,28,25,3,28,0
EB3022,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Wasatch Mtns,Elk,Bull,Archery,Limited Entry,Mature Bull,222,130,15,145,130,15,145,0
EB3025,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,685,15,2,17,15,2,17,0
EB3036,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Cache, South",Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,41,4,0,4,4,0,4,0
EB3038,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,51,61,7,68,61,7,68,0
EB3039,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti,Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,51,102,11,113,102,11,113,0
EB3043,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Fillmore, Pahvant",Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,88,13,2,15,13,2,15,0
EB3045,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,617,14,2,16,14,2,16,0
EB3046,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,617,24,3,27,24,3,27,0
EB3050,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,630,13,2,15,13,2,15,0
EB3056,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,634,7,1,8,7,1,8,0
EB3063,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake/Thousand Lakes,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,175,34,4,38,34,4,38,0
EB3064,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake/Thousand Lakes,Elk,Bull,Mid Any Legal Weapon,Limited Entry,Mature Bull,175,99,11,110,99,11,110,0
EB3065,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake/Thousand Lakes,Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,175,57,6,63,57,6,63,0
EB3066,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,San Juan Bull Elk,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,183,12,1,13,12,1,13,0
EB3068,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Diamond Mtn,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,206,10,1,11,10,1,11,0
EB3069,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Diamond Mtn,Elk,Bull,Mid Any Legal Weapon,Limited Entry,Mature Bull,206,30,3,33,30,3,33,0
EB3072,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Wasatch Mtns,Elk,Bull,Early Any Legal Weapon,Limited Entry,Mature Bull,222,54,6,60,54,6,60,0
EB3073,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Wasatch Mtns,Elk,Bull,Late Any Legal Weapon,Limited Entry,Mature Bull,222,89,10,99,89,10,99,0
EB3084,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti,Elk,Bull,Muzzleloader,Limited Entry,Mature Bull,51,89,10,99,89,10,99,0
EB3096,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake/Thousand Lakes,Elk,Bull,Muzzleloader,Limited Entry,Mature Bull,175,50,6,56,50,6,56,0
